ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Description,Categories,Language
0439161169,"Little Treasures: A book of Thought, Quotes, and Inspirations",Sherry Chiger,2000,scolastic,,,
0671893165,SPEAK AND GET RESULTS: COMPLETE GUIDE TO SPEECHES &amp; PRESENTATIONS WORK BUS,Sandy Linver,1994,Fireside,,,
038548755X,Enterprise One to One: Tools for Competing in the Interactive Age,Don Peppers,1999,Currency,Explains how businesses can use interactive information gathering to get a better idea of what their customers want and serve them better by anticipating their needs,Business & Economics,en
0810113309,Beware of Pity (European Classics),Stefan Zweig,1996,Northwestern University Press,,,
0763618985,The Tiger Rising,Kate Dicamillo,2002,Candlewick Press (MA),,,
0141390123,The Order of the Death's Head: The Story of Hitler's Ss (Classic Military History),Heinz Hohne,2001,Penguin Books,,,
0312044569,"Journey into Summer (American Seasons, 2nd Season)",Edwin Way Teale,1990,St Martins Pr,,,
1861001568,Instant HTML Programmer's Reference Html,Alex Homer,1997,Peer Information Inc.,,,
0448089459,Mystery of the Spiral Bridge (Hardy Boys 45),Franklin W. Dixon,1966,Grosset &amp; Dunlap,,,
086241931X,Widow Basquiat: A Love Story,Jennifer Clement,2001,Canongate Books,,,
8432202835,Juan sin tierra (Biblioteca breve ; 378 : Novela),Juan Goytisolo,1975,Editorial Seix Barral,,,
0688129226,The Cynic's Dictionary,Richard Bayan,1994,Hearst Corporation,,,
0307748073,Three Little Pigs (Little Golden Sight 'n' Sound Book),Sidelines,1992,Random House Childrens Books,,,
0440196191,Witness for the Prosecution,Agatha Christie,1983,Bantam Books (Mm),,,
0440198577,When the Wind Blows,John Saul,0,Bantam Doubleday Dell,"Nine-year-old Christie Lyons has come to live in the house on the hill--the house where no children have lived for fifty years. When she sleeps in the old-fashioned nursery, her terror begins.",Fiction,en
0440918146,The Day They Came to Arrest the Book (Laurel Leaf Books),Nat Hentoff,1983,Laure Leaf,,,
1590170431,Dirty Snow (New York Review Books Classics),Georges Simenon,2003,New York Review of Books,,,
0316141305,Great Moments in Baseball History,Matt Christopher,1996,"Little, Brown",,,
0766804933,Delmar's Comprehensive Medical Terminology: A Competency Based Approach,Betty Davis Jones,1998,Delmar Thomson Learning,,,
9512028271,Amorfiaana,Mariaana JÃ¤ntti,1986,Gummerus,,,
0812831071,Time travel,John W Macvey,1990,Scarborough House,,,
3518017942,Der Fall Franza. Requiem fÃ?Â¼r Fanny Goldmann.,Ingeborg Bachmann,1983,Suhrkamp,,,
0967058317,The Falcon's Nest,Mark Atwell,1999,Lindsay Publishing,,,
0786011858,House of Secrets,Lowell Cauffiel,1998,Pinnacle Books,,,
0345349504,Secret House of Death,Ruth Rendell,1987,Fawcett Books,,,
0872441245,"A Pictorial History of Waco, Vol. 2",Robert E. Davis,1972,Texian Press,,,
0898864593,Lou Whittaker: Memoirs of a Mountain Guide,Lou Whittaker,1995,Mountaineers Books,,,
0553382349,The Cinderella Rules,DONNA KAUFFMAN,2003,Bantam,,,
0792234154,National Geographic Guide to America's Historic Places,Michael Lewis,1996,National Geographic Society,,,
2203001062,L'Ile Noire / The Black Island,Herge,1999,Casterman,,,
0821751298,Dangerous Joy,Jo Beverley,1995,Zebra Books,,,
0450417360,The Nick of Time,George Alec Effinger,1987,Hodder &amp; Stoughton General Division,,,
0394583892,Plum Island,Nelson Demille,1997,Random House Audio,,,
3596803357,Millie feiert Weihnachten. ( Ab 6 J.),Dagmar Chidolue,2003,"Fischer (Tb.), Frankfurt",,,
0670889490,The Hollow Tree,Janet Louise Swoboda Lunn,2000,Viking Books,,,
0830725644,Victory over the Darkness,Neil T. Anderson,2000,Regal Books,,,
0312962215,Howard Stern: King of All Media,Paul D. Colford,1997,St. Martin's Press,,,
0688167829,Florida Roadkill,Tim Dorsey,1999,Harpercollins,"Then there's Sean and David, who love fishing--and helping turtles cross busy thoroughfares. Unfortunately, they're about to cross paths with a suitcase filled with $5 million in stolen money.",Adventure stories,en
0883656442,The Best of Mystery : 63 Short Stories Chosen By The Master of Suspense,Alfred Hitchcock,2004,Galahad,,,
0062507796,Lilith's Cave: Jewish Tales of the Supernatural,Howard Schwartz,1988,Harpercollins,,,
3423129883,Derrick oder Die Leidenschaft fÃ?Â¼r das MittelmaÃ?Â?. Neue Streichholzbriefe.,Umberto Eco,2002,Dtv,,,
8408043404,Cela: UN Cadaver Exquisito,Francisco Umbral,2002,Planeta,,,
037303153X,"Wicked Deceiver (Harlequin Romance, No 3153)",Linda Howard,1991,Harlequin,"Wicked Deceiver by Stephanie Howard released on Aug 23, 1991 is available now for purchase.",Fiction,
3729602233,Verheizte Menschen geben keine WÃ¤rme: PlÃ¤yer fÃ¼r eine selbstbewusste Kultur,Urs Frauchiger,1985,Zytglogge,,,
1551520915,Vancouver: Secrets of the City,Shawn Blore,2001,Arsenal Pulp Press,,,
0722535996,The Modern Antiquarian: A Pre-Millennial Odyssey Through Megalithic Britain,Julian Cope,1999,Thorsons Publishers,,,
0201108135,"Who Am I? Who Are You?: Coping With Friends, Feelings and Other Teenage Dilemmas",Kathleen London,1983,Addison-Wesley Pub Co,,,
0786709219,The Mammoth Book of Illustrated Erotica,Marilyn Jaye Lewis,2002,Carroll &amp; Graf Publishers,,,
0195213602,Religion and the Decline of Magic: Studies in Popular Beliefs in Sixteenth and Seventeenth Century England,Keith Thomas,1997,Oxford University Press,,,
0312869622,Vanishing Acts: A Science Fiction Anthology,Ellen Datlow,2000,Tor Books,,,
0671656406,MENACE FROM EARTH,Robert A. Heinlein,1987,Baen,,,
030702007X,Snow White and the Seven Dwarfs (Walt Disney's Snow White and the Seven Dwarfs),Golden Books,1999,Golden Books Publishing Company,,,
0752219553,Stolen Emails (Phil Redmond's Hollyoaks),Chris Parker,2001,Channel 4 books,,,
3522172574,Das Netz der Schattenspiele. ( Ab 13 J.).,Ralf Isau,1999,Thienemann Verlag,,,
0696211785,Roses (Better Homes &amp; Gardens (Paperback)),Eleanore Lewis,2002,Better Homes and Gardens Books,"Popular colors and fragrances of new hybrids help gardeners create havens to rest, relax, and smell the roses. This new volume simplifies rose growing and guides readers from selection to harvest. Photos.",Gardening,
0450431185,The Rings of the Master: Book 2: Pirates of the Thunder,Jack L. Chalker,1988,Hodder &amp; Stoughton General Division,,,
0140445366,Dialogues Concerning Natural Religion (Penguin Classics),David Hume,1990,Penguin Books,,,
0394731832,Making Things Grow (Indoors),Thalassa Cruso,1976,Random House Trade Paperbacks,,,
0694015806,The Enchanted Castle (Book and Charm),E. Nesbit,2002,HarperFestival,,,
0449131548,All the Days of My Life,Hilary Bailey,1986,Fawcett Books,,Fiction,en
0373261535,Down Home Heifer Heist,Eve K. Sandstrom,1994,Worldwide Library,,,
0812533348,Wolf and Iron,Gordon R. Dickson,1994,Tor Books,,,
1563411261,And Then They Were Nuns: A Novel,Susan J. Leonardi,2003,Firebrand Books,,,
1582343349,Bestial Noise: The Tin House Fiction Reader,Rob Spillman,2003,Bloomsbury Publishing PLC,,,
1575450631,"The Kingdoms and the Elves of the Reaches Book 3 (Keeper Martin's Tales, Book 3)",Robert Stanek,2002,Reagent Press,,,
0471617156,Mind of a Manager Soul of a Leader,Craig R. Hickman,1990,John Wiley &amp; Sons,,,
2070412784,Blue moon,D. Sigaud,2000,Gallimard,,,
1886360065,Born Gay: Mom Should Have Known When...,Michael Zambotti,1998,Alamo Square Distributors,,,
0575040726,The Umbrella's Story (Featherby House Fables),Jez Alborough,1988,Orion Publishing Co,,,
0914457330,Europe on 10 Salads a Day,Mary Jane Edwards,1990,Natl Book Network,,,
0671501062,Deep Space Nine Companion (Star Trek Deep Space Nine),Terry J. Erdmann,2000,Star Trek,,,
0671242954,TIME AND AGAIN,Jack Finney,1986,Fireside,"""Sleep. And when you awake everything you know of the twentieth century will be gone from your mind. Tonight is January 21, 1882. There are no such things as automobiles, no planes, computers, television. 'Nuclear' appears in no dictionary. You have never heard the name Richard Nixon."" Did illustrator Si Morley really step out of his twentieth-century apartment one night -- right into the winter of 1882? The U.S. Government believed it, especially when Si returned with a portfolio of brand-new sketches and tintype photos of a world that no longer existed -- or did it?",Large type books,
0553484311,"Hang Time (Silver Hoops , No 9)",Hank Herman,1997,Skylark Books,,,
0449209474,Black Robe,Brian Moore,1991,Fawcett Books,,,
0445405236,Veil,George C. Chesbro,1987,Warner Books,,,
0449133486,Come Death and High Water (George and Molly Palmer-Jones Mysteries),Ann Cleeves,1989,Fawcett Books,,,
0140088512,Feathers or Lead: Short Fiction,Nicholas Jose,1986,Penguin USA,,,
0671677764,Kitchen Chemistry: Science Experiments to Do at Home (Robert Gardner's science experiments),Robert Gardner,1989,Silver Burdett Pr,,,
0785270639,Living Simply In God's Abundance Strength And Comfort For The Seasons Of A Woman's Life,Suzanne Ezell,1998,Nelson Books,,,
0380701324,The Pale Betrayer,Dorothy Salisbury Davis,1987,Avon Books,,,
0446529540,Futureland: Nine Stories of an Imminent World,Walter Mosley,2001,Aspect,,,
0394473019,The Etruscans,Werner Keller,1974,Random House Inc,,,
1594142270,The Lebo Coven,Stephen Mark Rainey,2004,Five Star (ME),,,
0553583271,"Rode Hard, Put Away Dead",Sinclair Browning,2001,Crimeline,,,
157521069X,Java Developer's Guide,Jamie Jaworski,1996,Macmillan Computer Pub,,,
1854876759,Handbook of the SAS and Elite Forces,Jon E. Lewis,0,Constable Robinson,,,
0691028257,Rank and File: Personal Histories by Working-Class Organizers (Princeton Paperbacks),Alice Lynd,1982,Princeton Univ Pr,,,
0965078728,America: The Italian Dream,Mabel R. Leo,1998,Mibs Pubns,,,
0892741163,Prayers that Avail Much,Inc. Staff Word Ministries,1980,"Harrison House, Incorporated",,,
0943703034,Secrets of Effective Leadership,"Fred A., Jr. Manske",1990,Leadership Education &amp; Development,"""Secrets of effective leadership is a treasury of practical ideas on how to effectively lead others. It is designed to shorten the leadership development process by exposing you to a wide range of leadership wisdom and techniques. This inspirational guide-book describes 17 basic leadership attributes along with strategies for developing them in yourself and others. In addition, it contains valuable ideas for unleashing your full leadership potential by building on your strengths, managing stress, and enhancing your personal life. Added features include a comprehensive ""Leadership Self-Appraisal"" and the ""Top Ten Commandments of Leadership."" This book has been recognized as a classic in the field of leadership development""--from amazon.com.",Business & Economics,
1557735077,Crimson Sunrise,Kristie Knight,1991,Berkley Pub Group (Mm),,,
0393308340,State of the World 1992: A Worldwatch Institute Report on Progress Toward a Sustainable Society (State of the World (Paperback)),Lester R. Brown,1992,W W Norton &amp; Co Inc,,,
0072195177,Final Cut Pro (R) 3: The Complete Reference,Richard Schrand,2002,McGraw-Hill Osborne Media,,,
0521413230,Predicting the Future (Darwin College Lectures),Leo Howe,1993,Cambridge University Press,,,
0449209881,Angle of Repose,Wallace Stegner,1985,Fawcett Books,,,
1579120954,Little Treasury of Golf,J P Resnick,0,Workman Publishing Co Inc,,,
0671731696,SITA,Kate Millett,1992,Touchstone,,,
0836279859,Universal Almanac,John W. Wright,1990,Andrews McMeel Publishing,,,
0895656965,"Smile, Says Little Crocodile (Magic Castle Readers Health and Safety)",Jane Belk Moncure,1988,Child's World,,,
349922710X,Die Prozedur.,Harry Mulisch,2000,Rowohlt Tb.,Om de overgang van dode materie naar leven te doorgronden neemt een onderzoeker grote risico's.,Dutch literature,
0805060375,The Jewish Writer,Jill Krementz,1998,Henry Holt &amp; Co,,,
057540275X,Crazy Man Michael,Jim Lusby,2000,Orion,,,
0582537312,Round the World in Eighty Days,Jules Verne,1987,Longman Group United Kingdom,,,
1400011582,"Fodor's FYI: How to Tip, 1st Edition (Fodor's FYI)",Fodors,2002,Fodor's,,,
0689110111,From orphans to champions: The story of DeMatha's Morgan Wootten,Morgan Wootten,1979,Atheneum,,,
0439062810,Sunchaser's Quest (Unicorns of Balinor),Mary Stanton,1999,Scholastic,"Princess Arianna returns to Balinor where she takes care of Sunchaser, her wounded unicorn.",Juvenile Fiction,
0380699761,City of the Dead,Herbert H Lieberman,1986,Harper Mass Market Paperbacks (Mm),,,
0803704534,A Package for Miss Marshwater (Dial Books for Young Readers),Elfie Donnelly,1987,Penguin USA,,,
0843934921,Shadow of the Storm,Debra Dier,1993,Leisure Books,,,
1881955338,"Great Garages, Sheds &amp; Outdoor Buildings: 101 Projects You Can Build",Connie Brown,1996,Home Planners,,,
0871968460,The Only Math Book You'll Ever Need,Stanley Kogelman,1986,Facts on File,,,
0373441304,"A Rosey Little Christmas / Jingle Bell Bride (Duets 2-In-1, No. 64)",Bonnie Tucker,2001,Harlequin,,,
0425138593,The Complete Nutrition Counter,Lynn Sonberg,1993,Berkley Publishing Group,,,
067087762X,Ranch of Dreams: The Heartwarming Story of America's Most Unusual Animal Sanctuary,Cleveland Amory,1997,Viking Books,"The author of the perennial bestseller ""The Cat Who Came for Christmas"" now tells the inspiring stories of the creatures he's sheltered at his Black Beauty Ranch, America's most unusual animal sanctuary, located in East Texas. of color photos. (Animals/Pets)",Nature,
0340253908,A Spy at Evening (Coronet Books),Donald James,1980,Hodder &amp; Stoughton General Division,,,
0451166256,Boston Strangler,Gerold Frank,1988,New Amer Library (Mm),,,
0814907504,Scenes from American life;: Contemporary short fiction,Joyce Carol Oates,1973,Vanguard Press,,,
0312112483,Blanche Among the Talented Tenth,Barbara Neely,1994,St Martins Pr,,,
3401450875,Geheimbund der Superdetektive. ( Ab 10 J.).,Helmuth Wiese,2002,Ensslin im Arena Verlag,,,
1401300707,All Fishermen Are Liars: True Tales from the Dry Dock Bar,Linda Greenlaw,2004,Hyperion,,,
0394507606,National Audubon Society Field Guide to Trees: Eastern Region : Eastern (Eastern),Elbert Luther Little,1980,Knopf,,,
0689835086,Young Nick's Head,Karen Hesse,2001,Simon &amp; Schuster Childrens Books,,,
0385046553,An enquiry into the existence of vampires,Marc Lovell,1974,Doubleday,,,
0764806629,Stewardship: A Parish Handbook,C. Justin Clements,2000,Liguori Publications,,,
0373605056,"Sniper (Super Vietnam Ground Zero, No 5)",Eric Helm,1990,Gold Eagle,,,
0812972155,Masters of Doom : How Two Guys Created an Empire and Transformed Pop Culture,DAVID KUSHNER,2004,Random House Trade Paperbacks,,,
0830615393,Troubleshooting &amp; repairing personal computers,Art Margolis,1983,Tab Books,,,
0060928700,Empress of the Splendid Season,Oscar Hijuelos,2000,Perennial,,,
3442133459,Liebe im Preis inbegrifen / Wie Feuer und Wasser. Zwei Romane in einem Band.,Jane Heller,2003,Goldmann,,,
0786841125,Hunchback of Notre Dame,Gina Ingoglia,1996,Disney Press,,,
1858285798,The Rough Guide to Jerusalem,Daniel Jacobs,2000,Rough Guides Limited,,,
0374164770,"Faust, Part One",Johann  Wolfgang von Goethe,2000,"Farrar, Straus and Giroux",,,
0451402561,Gallowglass,Barbara Vine,1992,New Amer Library,,,
0140042458,Time without clocks,Joan Weigall Lindsay,1976,Penguin Books,,,
0380702541,Jellyfish Season,Mary Downing Hahn,1987,Harpercollins Juvenile Books,,,
1557231745,Winnie the Pooh and the Bluestery Day,Disney,1991,Walt Disney Records &amp; Audio,,,
0843108932,Little Miss Bossy (Little Miss Books),Roger Hargreaves,1981,Price Stern Sloan,,,
0385032080,Herbs and the Earth,H. Beston,1973,Doubleday,,,
0451212185,Forgive the Moon,Maryanne Stahl,2004,Signet Book,,,
0553492217,"Breaking Away (Sweet Valley University, No 37)",Laurie John,1998,Sweet Valley,,,
0854491872,The Colonist,Michael Schmidt,1993,Gay Men's Press,"In the tropical Mexican town of San Jacinto, an English boy grows up in an isolated household. His parents are a distant presence, and he is looked after by the dutiful housekeeper Dona Constanza. His only friend is the gardener's son Chayo, an illiterate boy his own age who becomes a virtual brother. Against the growing resistance of his parents, the young narrator teaches Chayo to read, and imbibes from him in turn the exotic mysteries of Mexican culture. As the two boys grow into adolescence the narrator's love for his friend becomes obsessive and frustrated. Chayo is confused and the narrator is relentless, but their differing social and cultural backgrounds conspire to pull them apart, and their emotional entanglement spirals towards a devastating denouement.",,
0553443178,"Tender, Loving Cure (Loveswept, No 668)",Gayle Kasper,1994,Loveswept,,,
3293200451,"UT, Nr.45, Auch die VÃ?Â¶gel sind fort",Yasar Kemal,1994,Unionsverlag,,,
0809480956,Our Inheritance in the Great Pyramid (Collector's Library of the Unknown),C. Piazzi Smyth,1993,Warner Books Inc,,,
067102115X,PRISONER OF CABIN 13 SABRINA THE TEENAGE WITCH 11,Esther Friesner,1998,Simon Spotlight Entertainment,,,
0689502621,Ratha's Creature (Rathas Creature Mkm),Clare Bell,1983,Margaret K. McElderry Books,,,
0394719565,The Juggling Book,Charles Lewis,1974,Random House Inc,,,
0307100146,Walt Disney's 101 Dalmatians: Pongo to the Rescue (Golden Super Shape Book),Justine Korman,1994,Random House Childrens Books,,,
0822326957,Turning South Again: Re-Thinking Modernism/Re-Reading Booker T.,Houston A. Baker,2001,Duke University Press,,,
029273848X,Israeli Cinema: East/West and the Politics of Representation,Ella Shohat,1989,Univ of Texas Pr,,,
0373241852,"Cowboy'S Ideal Wife (A Ranching Family) (Special Edition , No 1185)",Victoria Pade,1998,Silhouette,,,
0446364282,Love's Encore,Sandra Brown,1997,Warner Books,"Two years ago, a designer's passionate tryst with a handsome stranger ended in regret and longing -- and now, she must face him again while remodeling a storied Southern plantation. A tall, handsome stranger, an evening of romance, and enough heartache to last a lifetime -- in one reckless night, her life was changed forever. Two years later, Camille Jameson is a successful interior decorator with the opportunity to renovate one of Mississippi's proudest plantations. She arrives excited and eager to face her greatest professional challenge yet -- until Zack Prescott saunters through the mansion's front door and back into her life. He is exactly as she remembers, except for the knowing look in his eyes that reminds her of what they once shared. Now, forced to live in unbearably close quarters, Camille and Zack will learn whether they have the courage to face the past -- and, perhaps, build a future together . . .",Fiction,en
080945257X,Fall of Camelot (Enchanted World),Not Applicable (Na ),1986,Warner Books Inc,,,
0760723303,Spell-a-Day (Lead a Charmed Life All Year Long),Llewellyn,2000,Barnes &amp; Noble,,,
1575661101,No Honeymoon for Death: A Gilded Age Mystery,Mary Kruger,1996,Kensington Publishing Corporation,,,
0345337530,Death Sweet,T.J. Mac Gregor,1988,Ballantine Books,,,
0517189054,Animal Clinic for Cats,Jim Humphries,1998,Gramercy Books,,,
3442726255,Die Schamanin.,Marcia Rose,2001,btb,,,
0061084956,Jade,Patricia Simpson,1997,Harper Mass Market Paperbacks (Mm),,,
0345478266,Some Things I Never Thought I'd Do (April GMA Selection),Pearl Cleage,2004,One World/Ballantine,,,
1568654294,Little Big,John Crowley,1981,Doubleday Book &amp; Music Clubs,,,
0375700676,A Death in China (Vintage Crime/Black Lizard),Carl Hiaasen,1998,Vintage Books USA,,,
0373110545,"This Man'S Magic (Harlequin Presents, No 1054)",Stephanie Wyatt,1988,Harlequin,,,
0962184403,Stories Worth Reading,Douglas H. Ball,1990,Printemps Books,,,
0764220403,Beloved Stranger,Judith Pella,1998,Bethany House Publishers,,,
1580175090,Will Yoga &amp; Meditation Really Change My Life: Personal Stories from 25 of North America's Leading Teachers,Stephen Cope,2003,Storey Publishing,,,
0873415388,"Toys &amp; Prices 1998 (Toys and Prices, 1998)",Sharon Korbeck,1997,Krause Pubns,,,
0896931412,God Made Wild and Tame Things,Bob Fuller,1992,Cook Communications Ministries intl,,,
8071812447,Maly Princ Prince Czech,Antoine de Saint-ExupÃ©ry,0,Schoenhofsforeign Books Inc,,,
0345423097,Joy School (Ballantine Reader's Circle),ELIZABETH BERG,1998,Ballantine Books,"In this exquisite new novel by bestselling writer Elizabeth Berg, a young woman falls in love -- and learns how sorrow can lead to an understanding of joy. Katie, the narrator, has relocated to Missouri with her distant, occasionally abusive father, and she feels very much alone: her much-loved mother is dead; her new school is unaccepting of her; and her only friends fall far short of being ideal companions. When she accidentally falls through the ice while skating, she meets Jimmy. He is handsome, far older than she, and married, but she is entranced. As their relationship unfolds, so too does Katie's awareness of the pain and intensity first love can bring. Beautifully written in Berg's irresistible voice, Joy School portrays the soaring happiness of real love, the deep despair one can feel when it goes unrequited, and the stubbornness of hope that will not let us let go. Here also is recognition that love can come in many forms and offer many different things. Joy School illuminates, too, how the things that hurt the most can sometimes teach us the lessons that really matter. About Durable Goods, Elizabeth Berg's first novel, Andre Dubus said, ""Elizabeth Berg writes with humor and a big heart about resilience, loneliness, love and hope. And the transcendence that redeems."" The same will be said of Joy School, Elizabeth Berg's most luminous novel to date.",Fiction,
0446613592,Smallville: Silence (Smallville (Warner)),Nancy Holder,2003,Aspect,,,
0307100642,S.S./Splish-Splashy Day (Sesame Street),Liza Alexander,1999,Golden Books,,,
0380977826,"The Mozart Effect for Children: Awakening Your Child's Mind, Health, and Creativity With Music",Don G. Campbell,2000,HarperCollins Publishers,,,
0836224019,The dancer's book of health,Lawrence M Vincent,1978,Sheed Andrews and McMeel,,,
0553238450,Delta Star,Joseph Wambaugh,1984,Bantam Doubleday Dell,"Los Angeles detective Mario Villalobos' investigation of a seemingly routine murder leads him to a famous university where the struggle for recognition, funds, and the Nobel prize may have high costs.",Fiction,en
0425151832,Baffled in Boston: A Mystery,Gary Provost,1996,Berkley Publishing Group,,,
0737701927,Readings on the Red Pony (Literary Companion Series),John Steinbeck,2000,Greenhaven Press,,,
044920216X,Lady Scandal,Rebecca Baldwin,1984,Fawcett Books,,,
0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy,"It all started with a birthday present Omri didn't want -- a small, plastic Indian that no use to him at all. But an old wooden cupboard and a special key brought his unusual toy to life. And then even stranger things began to happen- wonderful, secret, dangerous...magical things.",Juvenile Fiction,en
0425048527,Man Who Lost the War,W.W. Tyler,1981,Berkley Publishing Group,,,
0312082282,James the Connoisseur Cat,Harriet Hahn,1993,St Martins Pr,,,
3746651042,Mansfield Park.,Jane Austen,2000,Aufbau Tb,,,
0970198809,Ida Caught By Grace,Yolanda Magee,2000,Horeb Pubns Inc,,,
3442310032,Sich verlieren. Die Geschichte einer Obsession.,Annie Ernaux,2003,Goldmann,,,
0345416872,Enchantment,Orson Scott Card,1999,Del Rey Books,,,
0373832583,Just Married,Sandra Canfield,1993,Harlequin,,,
8437606772,Fausto,Johann Wolfgang Von Goethe,1997,Ediciones Catedra S.A.,,,
0895777932,Gifts for Your Dog: Over 30 Terrr-Ific Presents Your Dog Will Drool over,Readers Digest Association,1995,Putnam Pub Group,,,
038079635X,The Wedding Night,Linda Needham,1999,Avon,,,
2038700621,Poesies Choisies,Hugo,0,Editions Larousse,,,
2253052159,L'Etoile Vesper,Sidonie-Gabrielle Colette,1990,LGF,,,
0373028520,"Long Way Home (Harlequin Romance, No 2852)",Bethany Campbell,1987,Harlequin,,,
0449004260,Dying for a Clue (Jennifer Marsh Mysteries),JUDY FITZWATER,1999,Fawcett,,,
9066481471,Groot Woordenboek Nederlands Engels,van Dale,0,Van Dale Lexicografie,,,
3596250587,Das Gewissen der Worte.,Elias Canetti,1981,"Fischer (Tb.), Frankfurt",,,
1856976637,I Wonder Why Camels Have Humps: And Other Questions About Animals (I Wonder Why),Anita Ganeri,1997,Kingfisher,,,
1586851004,"The Gift: A Fable for Our Times (Fable for Our Times, 6)",Carol Lynn Pearson,2001,Gibbs Smith Publishers,,,
0375408606,The Alibi (Random House Large Print),Sandra Brown,1999,Random House Large Print Publishing,,,
0451519205,Classic Comedies,Maurice Charney,1985,New Amer Library Classics (Mm),,,
0786902027,"Knights of the Sword (Dragonlance Warriors, Vol. 3)",Roland Green,1999,Wizards of the Coast,,,
3466300134,"Harmonielehre, Bd.1",Michael Dachs,2001,KÃ?Â¶sel,,,
0684850109,"Noodling For Flatheads : Moonshine, Monster Catfish and Other Southern Comforts",Burkhard Bilger,2000,Scribner,,,
0888822200,Quizzing Canada,Sandra Martin,2000,Not Avail,,,
0449238431,Young Lady Fashion,Mary A. Gibbs,1979,Fawcett Books,,,
1570429219,Roses Are Red,James Patterson,2000,Time Warner Audio Major,,,
3442437172,Der KuÃ?Â? der Schlange.,Ruth Rendell,1997,Goldmann,,,
0374123543,Churchill: A Biography,Roy Jenkins,2001,Farrar Straus Giroux,,,
0525442766,The Boy Who Reversed Himself,William Sleator,1986,Dutton Books,,,
044922323X,First Ladies,Margaret Truman,1996,Ballantine Books,"“Fascinating . . . First Ladies is a wonderfully generous look at the women who, often against their wishes, took on what Truman calls ‘the world's second toughest job.’”—The Christian Science Monitor Whether they envision their role as protector, partner, advisor, or scold, First Ladies find themselves in a job that is impossible to define, and just as difficult to perform. Now Margaret Truman, daughter of President Harry Truman and an acclaimed novelist and biographer in her own right, explores the fascinating position of First Lady throughout history and up to the present day. With her unique perspective as the daughter of a First Lady, Ms. Truman reveals the truth behind some of the most misunderstood and forgotten First Ladies of our history, as well as the most famous and beloved. In recounting the charm and courage of Dolley Madison, the brazen ambition of Florence Harding, the calm, good sense of Grace Coolidge, the genius of Eleanor Roosevelt, the mysterious femininity of Jackie Kennedy, and the fierce protectiveness of Nancy Reagan, among others, Margaret Truman has assembled an honest yet affectionate portrait of our nation’s First Ladies—one that freely acknowledges their virtues and their flaws.",Biography & Autobiography,
0385322224,Shaman's Circle,Nancy C. Wood,1996,Doubleday Books for Young Readers,,,
3442448484,Amerika.,Sibylle Berg,2001,Goldmann,,,
8440638744,Hyperion,Dan Simmons,1993,Ediciones B,,,
0764531263,Discover Visual BasicÂ® 5,James D. Foxall,1997,John Wiley &amp; Sons Inc,,,
0393954269,"Nathaniel Hawthorne's Tales: Authoritative Texts, Backgrounds, Criticism (Norton Critical Edition)",James McIntosh,1987,W. W. Norton &amp; Company,,,
0380820544,A Thoroughly Modern Princess,Wendy Corsi Staub,2003,Avon,,,
0876859694,Shakespeare Never Did This,Charles Bukowski,1995,Black Sparrow Books,,,
0517288710,Grand Canyon Arizona &amp; New Mexico A (A Picture Book to Remember Her By),Ted Smart,1985,Crescent,,,
0679722580,The Continental Op (Vintage Crime),DASHIELL HAMMETT,1989,Vintage,,,
0553158600,"The Case of the Secret Santa (Sweet Valley Kids Super Snooper, No. 1)",Molly Mia Stewart,1990,Sweet Valley,,,
3442248043,Das Uplift- Universum 5. Ring der Sonnen.,David Brin,1999,Goldmann,,,
0590413538,The Secret Hide-Out,John Peterson,1988,Scholastic Paperbacks (Mm),,,
0448412853,Ben's Glasses,David Johnson,1996,Grosset &amp; Dunlap,,,
0471173983,The Book That's Sweeping America! : Or Why I Love Business!,Stephen Michael Peter Thomas,1997,Wiley,,,
0812568826,Spherical Harmonic (The Saga of the Skolian Empire),Catherine Asaro,2002,Tor Science Fiction,,,
0803930933,Standardized Survey Interviewing : Minimizing Interviewer-Related Error (Applied Social Research Methods),"Floyd J., Jr Fowler",1989,SAGE Publications,,,
0380770474,Rogue,Fabio,1994,Harper Mass Market Paperbacks,,,
0743442857,Before the Devil Knows You're Dead,Michael Ledwidge,2002,Atria Books,,,
0374128731,Ultimate Punishment : A Lawyer's Reflections on Dealing with the Death Penalty,Scott Turow,2003,"Farrar, Straus and Giroux",,,
0425116832,Catfish: My Life in Baseball,Jim Catfish Hunter,1989,Berkley Pub Group,,,
0743211235,"The Prize Winner of Defiance, Ohio: How My Mother Raised 10 Kids on 25 Words or Less",Terry Ryan,2002,Simon &amp; Schuster,,,
1570621853,Awakening the Sleeping Buddha,PEMA DONYO NYINCHE,1996,Shambhala,,,
1593080484,Persuasion,Jane Austen,2003,Barnes &amp; Noble Books-Imports,,,
0941483029,Memory Board,Jane Rule,1987,Naiad Press,,,
0373114869,"Imperfect Bride (Harlequin Presents, No 11486)",Karen Van Der Zee,1992,Harlequin,,,
0312974051,Buck Colter,Matthew Braun,2000,St. Martin's Press,,,
0767907132,The Best a Man Can Get: A Novel of Fatherhood and Its Discontents,John O'Farrell,2001,Broadway Books,,,
0345323882,Blade Runner (R),Philip K. Dick,1982,Ballantine Books,,,
0898860652,Footsore: Walks &amp; hikes around Puget Sound,Harvey Manning,1982,The Mountaineers,,,
